registro;;unidade_orcamentaria;;;;;;natureza_despesa;item_despesa;num_emp;;;;valor_emp;;;;;;;;;;;;;;;;;;;;
10;1;1061;4;131;1;105; ;339036;7;14801;5122023;2;1;580,00;Pagamento referente a reposicao de 29 faltas lancadas indevidamente no contracheque de novembro de 2023  ;2; ; ; ; ; ;2; ; ;2; ; ;1; ; ; ; ; ;31196098620
11;1061;14801;1500000;0;580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1061;14801;1;10536352658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1;1141;4;122;1;12; ;319013;3;15453;21122023;2;1;33915,64;EMPENHO PARA COBRIR DESPESAS COM FOLHA DE PESSOAL NO EXERCICIO DE 2023 ;2; ; ; ; ; ;2; ; ;2; ; ;1; ; ; ; ; ;31196098620
11;1141;15453;1500000;0;33915,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1141;15453;2;3,00E+13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1;1031;4;122;1;9; ;319013;3;15462;21122023;2;1;140326,97;EMPENHO PARA COBRIR DESPESAS COM FOLHA DE PESSOAL NO EXERCICIO DE 2023 ;2; ; ; ; ; ;2; ; ;2; ; ;1; ; ; ; ; ;31196098620
11;1031;15462;1500000;0;140326,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1031;15462;2;3,00E+13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1;1041;3;92;1;10; ;319013;2;15588;22122023;2;1;216,80;EMPENHO PARA COBRIR DESPESAS COM FOLHA DE PESSOAL NO EXERCICIO DE 2023 ;2; ; ; ; ; ;2; ; ;2; ; ;1; ; ; ; ; ;31196098620
11;1041;15588;1500000;0;216,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1041;15588;2;1,87E+13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1;1241;13;122;1;150; ;319011;1;15608;22122023;2;1;188459,40;EMPENHO PARA COBRIR DESPESAS COM FOLHA DE PESSOAL NO EXERCICIO DE 2023 ;2; ; ; ; ; ;2; ; ;2; ; ;1; ; ; ; ; ;31196098620
11;1241;15608;1500000;0;188459,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1241;15608;2;1,87E+13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
